Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,11/13/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Costa Rica,CRI,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8618263,16.23106897,15.80260397,16.05937591,16.30452535,17.36219396,17.58774452,16.25525813,15.53770812,15.70567289,15.86538839,15.95171646,15.50824858,15.8253545,16.21457223,16.00392783,16.21123707,15.94564229,15.18401979,16.83205104,18.00349469,
Cuba,CUB,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.06082554,39.34312528,38.10229266,39.52699239,39.28099515,43.11585659,44.46566585,44.139812,46.63998265,46.03310793,49.11061464,50.68560474,56.35437104,53.51250549,27.87931756,28.06620603,27.59381259,27.67887681,28.63581441,31.19866561,29.62239566,28.1243176,28.4632985,28.95709569,27.76966827,26.53588159,29.07725283,30.03071606,
Czechia,CZE,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.63561247,26.93681307,26.76197753,25.92997203,26.22856009,25.68075367,26.66922826,26.43057441,29.94416055,27.28952617,26.133788,25.9324231,26.49367164,25.46704561,24.68915009,25.11203721,26.02784171,26.45138854,26.45529811,25.54709572,25.85810284,26.2335484,26.18662296,26.37157694,26.24566218,25.77733809,25.11008449,25.01197187,
Germany,DEU,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.83478371,13.44294561,12.92445556,13.23013856,12.89204638,12.13481976,11.89281799,11.98002403,12.66776079,12.72970807,12.10836164,11.94134078,12.33892664,11.47941234,11.6295869,11.88937059,12.35190334,12.57212869,12.8968447,12.4629543,12.90084498,12.96505677,12.94794316,12.94910553,12.8198587,12.575078,12.61480919,12.80601405,12.83517217,12.03644237,12.5075122,12.52457562,
Djibouti,DJI,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.26036423,38.83095608,38.11192731,38.30765314,37.95933343,37.66475748,36.62810039,36.55857563,36.44590556,38.2287314,39.79718158,38.46729521,40.95522481,39.8792117,39.44632909,39.63321296,40.263072,40.39330288,40.3738546,42.47081913,39.31684406,38.50155783,38.81849187,37.88784643,40.15833568,39.96928973,41.17370014,36.28058655,
Dominican Republic,DOM,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.86876853,13.61767598,14.64344875,15.04827297,16.2535027,15.20000747,13.16394228,13.40104393,13.14696849,13.82666047,14.54018531,14.62485284,17.16661461,14.47871243,14.65900685,14.66363716,14.87617073,14.20017222,15.9564975,15.62525779,
Algeria,DZA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.47306305,23.32210601,24.36867509,21.9781367,21.29506765,24.39396312,22.91065481,20.27856616,23.31921218,24.5499193,
"Egypt, Arab Rep.",EGY,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.42913698,21.55592814,21.01895735,20.88367688,24.90602234,24.31150644,23.06257286,22.95701401,20.64392508,18.15472249,,,,,,,,,,,,
