"Country_Name","Country_Code","Year","Debt","GDP","GDP_Per_Capita","Revenue","Category","pandemic_year"
"Jamaica","JAM",2016,122.6557478,14.077096677,5022.70017844299,28.38654053,"Developing",0
"Jamaica","JAM",2017,102.4636034,14.808985133,5273.1490130852,29.59188235,"Developing",0
"Jamaica","JAM",2019,92.24644845,15.830766531,5626.1704590766,30.78795608,"Developing",0
"Jamaica","JAM",2020,106.282373,13.812421836,4897.26476180879,29.25379581,"Developing",1
"Jordan","JOR",2015,78.86144967,38.587017887,4064.25301043642,21.57187603,"Developing",0
"Jordan","JOR",2016,74.07186077,39.892551127,4003.40474641177,22.00876832,"Developing",0
"Jordan","JOR",2017,75.38050205,41.608435915,4073.11640314668,22.73848212,"Developing",0
"Jordan","JOR",2019,79.345191,44.502816901,4159.6537537759,22.04608032,"Developing",0
"Jordan","JOR",2020,75.96607269,43.700383099,3998.67313829235,20.10489353,"Developing",1
"Jordan","JOR",2022,101.139706,48.653381831,4311.0000506816,23.51153095,"Developing",0
"Japan","JPN",2015,194.5840612,4444.93,34960.6393843385,12.45259811,"Developed",0
"Japan","JPN",2016,193.2304378,5003.68,39375.4731620781,12.09141814,"Developed",0
"Japan","JPN",2017,193.4891597,4930.84,38834.0529341227,12.62845953,"Developed",0
"Japan","JPN",2018,197.3356094,5040.88,39751.1330982711,12.89545786,"Developed",0
"Japan","JPN",2019,198.0103092,5117.99,40415.9567649547,12.64420764,"Developed",0
"Japan","JPN",2020,215.7555406,5055.59,40040.7655055923,13.36361693,"Developed",1
"Japan","JPN",2021,216.3293649,5034.62,40058.5373276179,14.2971207,"Developed",1
"Japan","JPN",2022,216.2133755,4256.41,34017.2718075024,15.25852401,"Developed",0
"Kazakhstan","KAZ",2015,21.1957538,184.388,10510.7703240885,13.06648067,"Developing",0
"Kazakhstan","KAZ",2016,16.76932745,137.278,7714.84184376024,13.03656638,"Developing",0
"Kazakhstan","KAZ",2017,16.60080792,166.806,9247.58067886159,15.48689558,"Developing",0
"Kazakhstan","KAZ",2018,21.97226009,179.34,9812.62543137393,15.31585192,"Developing",0
